id,business_name,city,state,zip,contact_name,email,phone,ffl_license_number,preferred,demo,active,created_at
bbed52b1-acfc-4785-97ac-f8f9c29dd7ef,22THREE INC,LEBANON,OH,45036,22THREE INC,,5132280656,,f,f,t,2026-03-29 18:55:57.164293+00
67bd183e-82e7-4a9c-bfdb-fee0abeac800,22THREE INC,LEBANON,OH,45036,22THREE INC,,5132280656,,f,f,t,2026-03-29 18:55:57.164293+00
c3950a06-0dbf-48ff-8e86-528c5f8769ab,22THREE INC,LEBANON,OH,45036,22THREE INC,,5132280656,,f,f,t,2026-03-29 18:55:57.164293+00
eb95abb4-178d-46cb-a7cb-99713f49dfac,2A TACTICAL & INDOOR FIRING RANGE LLC,HOBBS,NM,88240,2A TACTICAL & INDOOR FIRING RANGE LLC,,5759641452,,f,f,t,2026-03-29 18:56:06.339354+00
5aa17d8b-abfa-4b67-aaef-0e1a38fbb5ab,2A TACTICAL & INDOOR FIRING RANGE LLC,HOBBS,NM,88240,2A TACTICAL & INDOOR FIRING RANGE LLC,,5759641452,,f,f,t,2026-03-29 18:56:06.339354+00
081ce138-5d52-44ed-9a3a-fb3d6672f298,2ND CALIBER,BRASELTON,GA,30517,JAANPA SOLUTIONS LLC,,6782889111,,f,f,t,2026-03-29 18:55:53.718197+00
8294e44a-c424-4632-a920-1f2d44e52c10,2ND CALIBER,BRASELTON,GA,30517,JAANPA SOLUTIONS LLC,,6782889111,,f,f,t,2026-03-29 18:55:53.718197+00
27d06de7-09d8-42e6-a012-3860f35a3953,3D ARMS,BUCKHANNON,WV,26201,3D ARMS LLC,,3049973701,,f,f,t,2026-03-29 18:55:52.392251+00
7d49386c-dd2f-492e-a1bd-4910d760af6c,3D ARMS,BUCKHANNON,WV,26201,3D ARMS LLC,,3049973701,,f,f,t,2026-03-29 18:55:52.392251+00
0bb11f38-cd5a-4e50-8918-363e87e1cff7,3G GUNSMITHING LLC,MERCEDES,TX,78570,3G GUNSMITHING LLC,,9564630751,,f,f,t,2026-03-29 18:56:03.986739+00
be7da233-f922-4573-a4d0-28193e513b41,3G GUNSMITHING LLC,MERCEDES,TX,78570,3G GUNSMITHING LLC,,9564630751,,f,f,t,2026-03-29 18:56:03.986739+00
